,artists,album_name,track_name,popularity,explicit,danceability,energy,valence,duration_min,valence_category,cat_danceability,year,category,nominee,artist,winner
118,The Bombpops,Can of Worms,Breathe,21,False,0.404,0.982,0.625,3.2424333333,Positivo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
119,The Bombpops,Can of Worms,Breathe,21,False,0.404,0.982,0.625,3.2424333333,Positivo,Media,2000,Best Country Album,Breathe,Faith Hill,True
120,Imelda May,11 Past The Hour,Breathe,21,False,0.271,0.563,0.195,3.406,Negativo,Baja,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
121,Imelda May,11 Past The Hour,Breathe,21,False,0.271,0.563,0.195,3.406,Negativo,Baja,2000,Best Country Album,Breathe,Faith Hill,True
122,Boston Soundlabs,Just Dance Kids (Original Game Soundtrack),Beautiful Life,9,False,0.86,0.909,0.947,2.1551166667,Positivo,Alta,2014,Best Jazz Vocal Album,Beautiful Life,Dianne Reeves,True
123,ASTN,Butterflies,Butterflies,61,False,0.858,0.359,0.432,2.9204166667,Neutro,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
124,Boris Brejcha,Butterflies,Butterflies,37,False,0.801,0.748,0.285,8.288,Negativo,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
125,Kenny Larkin,Metaphor (Expanded Edition),Butterflies,6,False,0.778,0.321,0.332,9.0188833333,Negativo,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
126,Fiji Blue,Butterflies,Butterflies,54,False,0.729,0.526,0.786,2.9413333333,Positivo,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
127,Johnny Stimson,Butterflies,Butterflies,48,False,0.7,0.382,0.759,2.6849166667,Positivo,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
128,MAX;Ali Gatie,Butterflies,Butterflies,76,False,0.7,0.613,0.42,3.1875,Neutro,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
129,Kacey Musgraves,Golden Hour,Butterflies,68,False,0.689,0.614,0.411,3.6508833333,Neutro,Alta,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
130,William Black;Fairlane;Dia Frampton,Butterflies,Butterflies,47,False,0.563,0.72,0.263,3.3655166667,Negativo,Media,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
131,Porya Hatami,Butterflies,Butterflies,5,False,0.205,0.122,0.0478,5.8666666667,Negativo,Baja,2018,Best Country Solo Performance,Butterflies,Kacey Musgraves,True
132,Frank Ocean,Blonde,Close To You,65,False,0.855,0.663,0.815,1.4292333333,Positivo,Alta,1970,"Best Contemporary Vocal Performance By A Duo, Group Or Chorus",Close To You,Carpenters,True
133,Brando,Close To You,Close To You,49,False,0.743,0.797,0.603,2.77905,Positivo,Alta,1970,"Best Contemporary Vocal Performance By A Duo, Group Or Chorus",Close To You,Carpenters,True
134,Gnarls Barkley,St. Elsewhere,Crazy,76,False,0.855,0.587,0.64,2.9577666667,Positivo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
135,Gnarls Barkley,St. Elsewhere,Crazy,76,False,0.855,0.587,0.64,2.9577666667,Positivo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
136,Alex Cruz;Brascon;Rubenson,Crazy,Crazy,64,False,0.849,0.563,0.623,3.8788833333,Positivo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
137,Alex Cruz;Brascon;Rubenson,Crazy,Crazy,64,False,0.849,0.563,0.623,3.8788833333,Positivo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
138,PLÜM,Crazy,Crazy,67,False,0.769,0.596,0.259,3.6666666667,Negativo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
139,PLÜM,Crazy,Crazy,67,False,0.769,0.596,0.259,3.6666666667,Negativo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
140,All Ok,Crazy,Crazy,42,False,0.74,0.691,0.469,2.5761833333,Neutro,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
141,All Ok,Crazy,Crazy,42,False,0.74,0.691,0.469,2.5761833333,Neutro,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
142,The Breakfastaz,Crazy/ Method Of Doubt,Crazy,10,False,0.739,0.87,0.773,6.5633666667,Positivo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
143,The Breakfastaz,Crazy/ Method Of Doubt,Crazy,10,False,0.739,0.87,0.773,6.5633666667,Positivo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
144,BEAUZ;JVNA,Crazy,Crazy,57,False,0.739,0.796,0.422,3.13725,Neutro,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
145,BEAUZ;JVNA,Crazy,Crazy,57,False,0.739,0.796,0.422,3.13725,Neutro,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
146,Horace Andy,Serious Times,Crazy,27,False,0.693,0.547,0.603,4.9806666667,Positivo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
147,Horace Andy,Serious Times,Crazy,27,False,0.693,0.547,0.603,4.9806666667,Positivo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
148,Seal,Seal,Crazy,59,False,0.633,0.846,0.899,4.4673333333,Positivo,Alta,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
149,Seal,Seal,Crazy,59,False,0.633,0.846,0.899,4.4673333333,Positivo,Alta,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
150,A Skylit Drive,Rise (Deluxe Version),Crazy,26,False,0.501,0.945,0.538,2.9838666667,Neutro,Media,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
151,A Skylit Drive,Rise (Deluxe Version),Crazy,26,False,0.501,0.945,0.538,2.9838666667,Neutro,Media,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
152,Masked Intruder,Masked Intruder,Crazy,19,False,0.498,0.807,0.455,2.6604333333,Neutro,Media,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
153,Masked Intruder,Masked Intruder,Crazy,19,False,0.498,0.807,0.455,2.6604333333,Neutro,Media,1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith,True
154,Aerosmith,Get A Grip,Crazy,75,False,0.37,0.866,0.427,5.2782166667,Neutro,Baja,2006,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
